"구분","이름/채널","플랫폼","규모(구독/평시청)","언어","연락처·링크","우선순위","메모"
"해외 유튜버","Cracking The Cryptic","YouTube","703,000","EN","https://youtube.com/@CrackingTheCryptic","P2","세계 최대 스도쿠·논리퍼즐 채널. '완전정보에서 최적해 찾기'라는 게임 코어와 사고방식은 정확히 일치하나 비디오게임을 거의 다루지 않음 — 전용 각도 필요한 실험적 접촉"
"해외 유튜버(ZH-TW)","安迪遊戲頻道 (Andy Games)","YouTube","106,000","ZH-TW","https://youtube.com/@AndyGamesTW","P0","'게임 메커니즘 분해·분석'이 채널 강점이라 명시. 완전정보 설계 해설과 정면 일치. 중화권 최우선"
"해외 유튜버(ZH-HK)","Uwants 遊戲講","YouTube","89,800","ZH-HK","https://youtube.com/@UwantsGameharbour","P0","홍콩 로컬 게이머 팀. 상점 유입 홍콩 9%(3위) 대응 채널. 리뷰·월간 추천 코너 보유"
"해외 유튜버(ZH-TW)","Sazuky 亞多","YouTube","5,190","ZH-TW","https://youtube.com/@SubSazuky","P0","'대만에서 가장 전문적인 슬더스 채널' 자칭. 승률 지상주의를 비트는 톤 — 캐주얼 접근 가능"
"해외 유튜버(ZH-TW)","阿路的精神時光屋","YouTube","176,000","ZH-TW","https://youtube.com/@rusiru87time","P1","'여기 소개하는 게임은 중독성이 강하다'가 채널 콘셉트. 중독형 루프 게임 소개에 최적"
"해외 유튜버(ZH-CN)","独立游戏蜥蜴君","YouTube","19,700","ZH-CN","https://youtube.com/@独立游戏蜥蜴君","P1","숨은 인디게임 알리기가 채널 목적. 간체권 커버"
"해외 유튜버(JP)","インディーゲームレビュー / ゲームカフス","YouTube","27,200","JA","https://youtube.com/@GameCuffs","P0","인디게임 리뷰 전용 채널. 일본어권 리뷰 창구"
"해외 유튜버(JP)","ジロ - ゲーム紹介・レビューch","YouTube","71,000","JA","https://youtube.com/@-ch-qx5lh","P1","장르별 추천·리뷰 채널. 카드/퍼즐 장르 편성 여지"
"해외 유튜버(JP)","たまチャンネル","YouTube","57,200","JA","https://youtube.com/@たまチャンネル","P1","게임 개발자가 운영하며 연 300개 이상 플레이. 설계 관점 해설이 강점"
"해외 유튜버(FR)","Indeday","YouTube","26,600","FR","https://youtube.com/@Indeday","P0","프랑스어권 인디게임 전문 채널"
"해외 유튜버(FR)","Etrigane","YouTube","20,700","FR","https://youtube.com/@etrigane_house","P0","'인디 진주 발굴' 특화. 숨은 명작 소개형이라 신생 타이틀 수용도 높음"
"해외 유튜버(DE)","OberkommissarT","YouTube","37,100","DE","https://youtube.com/@oberkommissart","P0","'인디게임 채널' 표방, 매일 16시 정시 업로드. 편성 슬롯이 명확해 제안 타이밍 잡기 쉬움"
"해외 유튜버(DE)","Dex","YouTube","303,000","DE","https://youtube.com/@DexTag","P1","전략·인디 리뷰 대형 채널(영어 콘텐츠 병행). 회신률 낮으나 전략 게임 커버리지 두꺼움"
