"No","구분","이름/채널","플랫폼","규모(구독/평시청)","언어","연락처·링크","우선순위","1차 발송일","리마인드일","회신","키 발송","방송/게시일","결과·성과","메모"
"23","해외 스트리머","apqLIVE","Twitch/YouTube","22,700","EN","https://youtube.com/@apqLIVE","P0","","","","","","","로그라이크·인디·칠 스트림. 신작 인디 수용도 매우 높음"
"24","해외 유튜버","MultiBradx","YouTube","21,500","EN","https://youtube.com/@MultiBradx","P1","","","","","","","챌린지 영상 전문. '동일 시드 1등 경쟁' 포맷 제안 적합"
"25","해외 유튜버","Voyix","YouTube","18,900","EN","https://youtube.com/@Voyix","P1","","","","","","","몬스터 트레인 등 덱빌더 커버"
"26","해외 스트리머","J4CKIE","Twitch/YouTube","14,700","EN","https://youtube.com/@J4CKIE_TV","P0","","","","","","","자기소개가 'Strategy Card Game Streamer'. 월~금 정기 방송 — 스케줄 편성 가능성 높음"
"27","해외 유튜버","GuppyGoose","YouTube","9,550","EN","https://youtube.com/@GuppyGoose","P1","","","","","","","로그라이크 전문. 리액션형 편집"
"28","해외 유튜버","Golden Rodent","YouTube","9,400","EN","https://youtube.com/@GoldenRodent","P1","","","","","","","인스크립션 등 카드 인디게임 커버"
"29","해외 유튜버","Card Game Crypt","YouTube","7,690","EN","https://youtube.com/@CardGameCrypt","P0","","","","","","","'아무도 모르는 카드게임까지 소개'가 채널 정체성 — 신생 카드게임 최적 타깃"
"30","해외 유튜버","RisingDusk","YouTube","7,130","EN","https://youtube.com/@RisingDusk","P1","","","","","","","실제 로켓 과학자의 교육형 게임 해설. 완전정보 최적해 해설 콘텐츠 제작 가능"
"31","해외 유튜버","vmService","YouTube","5,380","EN","https://youtube.com/@vmserv","P1","","","","","","","슬더스2 고수준 플레이 + 모드 제작자. 코어층 신뢰도 높음"
"32","해외 유튜버","Tricky","YouTube","3,750","EN","https://youtube.com/@tricky8068","P1","","","","","","","채널 소개 'I play card games'. 소규모지만 장르 순도 최상"
"33","해외 유튜버","zpsKai","YouTube","4,170","EN","https://youtube.com/@KaisongDIDI","P2","","","","","","","슬더스 계열 플레이 채널"
"34","해외 유튜버","Vagabond","YouTube","3,890","EN","https://youtube.com/@Vagabondbalatro","P2","","","","","","","발라트로 전문 소형 채널"
"35","해외 유튜버","Exattox","YouTube","2,650","EN","https://youtube.com/@Exattox1","P2","","","","","","","발라트로 데일리. 디스코드 커뮤니티 운영"
"36","해외 유튜버","Gabriot","YouTube","2,300","EN","https://youtube.com/@Gabriot","P2","","","","","","","몬스터 트레인 집중 커버 중인 버라이어티 채널"
"37","해외 유튜버","ItsTangilicious","YouTube","1,460","EN","https://youtube.com/@ItsTangilicious","P2","","","","","","","몬스터 트레인 캐주얼 커버"
"38","해외 유튜버","Robbi","YouTube","1,300","EN","https://youtube.com/@RobbiBalatro","P2","","","","","","","발라트로 소형 채널"
"39","해외 유튜버","MarqBalatro","YouTube","1,190","EN","https://youtube.com/@MarqBalatro","P2","","","","","","","발라트로 소형 채널"
"40","해외 유튜버","Fantom Balatro","YouTube","840","EN","https://youtube.com/@Fantom_Balatro","P2","","","","","","","발라트로 멀티플레이 前 1위·팀 캡틴. 규모는 작지만 경쟁 커뮤니티 내 영향력 있음"
"41","해외 유튜버","Nightmare","YouTube","422","EN","https://youtube.com/@nightmarebalatro","P2","","","","","","","발라트로 크리에이터 서클(Bean 등)과 연결됨 — 소개 경로로 활용 가능"
"42","해외 유튜버","Deckbuilders Daily","YouTube","374","EN","https://youtube.com/@deckbuildersdaily / Deckbuildersdaily@gmail.com","P1","","","","","","","'신작 로그라이크 덱빌더 발굴'이 채널 목적이며 공개 이메일 보유 — 회신 가능성 높음"
"43","해외 유튜버","Dolgi","YouTube","517","EN","https://youtube.com/@D.olgiYT","P2","","","","","","","덱빌딩 로그라이크 소형 채널"
"44","해외 유튜버","Indie Gaming (Roguelikes)","YouTube","318","EN","https://youtube.com/@IndieGamingRoguelikes","P2","","","","","","","로그라이크 + 인디 신작 위주 소형 채널"
"45","해외 유튜버","Taylor's Trick-Taking Table","YouTube","5,340","EN","https://youtube.com/@ClaudeAndTaylor","P0","","","","","","","트릭테이킹 게임 전문 채널 — 100명 중 장르 일치도 1위. 규모는 작아도 반드시 접촉"
"46","해외 유튜버","Board Game Sanctuary","YouTube","31,300","EN","https://youtube.com/@BoardGameSanctuary","P1","","","","","","","모던 보드게임 리뷰. 트릭테이킹 룰 해설 수요층 보유"
"47","해외 유튜버","Board Game Buzzz","YouTube","12,600","EN","https://youtube.com/@boardgame_buzzz","P1","","","","","","","보드게임 리뷰 채널. 디지털판 트릭테이킹 소개 각도"
"48","해외 유튜버","Board Game Blitz","YouTube","5,300","EN","https://youtube.com/@BoardGameBlitz","P1","","","","","","","짧고 간결한 보드게임 리뷰 포맷 — 15초 GIF 소재와 궁합"
"49","해외 유튜버","Trickster Cards","YouTube","1,790","EN","https://youtube.com/@trickstercards","P1","","","","","","","브리지·유커 등 트릭테이킹 온라인 플랫폼 공식 채널. 제휴/교차홍보 각도"
"50","해외 유튜버","One Rule Wrong","YouTube","217","EN","https://youtube.com/@OneRuleWrong","P1","","","","","","","트릭테이킹 심층 분석 채널. 완전정보 룰 해설 콘텐츠 제안 적합"
"51","해외 유튜버","Best Indie Games (Clemmy)","YouTube","193,000","EN","https://youtube.com/@ClemmyGames","P0","","","","","","","인디 신작 큐레이션 최대 채널 중 하나. 데모 출시 시점 접촉"
"52","해외 유튜버","Adam Scott Games","YouTube","28,800","EN","https://youtube.com/@adamscottgames","P1","","","","","","","니치·인디 게임 전문 소개"
"53","해외 유튜버","Rosso Indie Games","YouTube","7,860","EN","https://youtube.com/@RossoIGH","P1","","","","","","","인디 신작 리뷰"
"54","해외 유튜버","Bandsmen GAMES","YouTube","2,400","EN","https://youtube.com/@BandsmenGAMES","P2","","","","","","","인디 신작 소개 채널"
"55","해외 유튜버","BanShreddedCheese","YouTube","1,870","EN","https://youtube.com/@banshreddedcheese","P2","","","","","","","신작 인디게임 리뷰 전문"
"56","해외 VTuber","Rin Penrose","YouTube","910,000","EN","https://youtube.com/@rinpenrose","P1","","","","","","","대형 EN VTuber. 발라트로 방송 이력. 회신률 낮으나 1회 커버 시 파급력 큼"
"57","해외 VTuber","PorcelainMaid","Twitch/YouTube","58,000","EN","https://youtube.com/@PorcelainMaidVODs / https://twitch.tv/porcelainmaid","P1","","","","","","","트위치 VOD 아카이브 별도 운영. 발라트로 방송 이력"
"58","해외 VTuber","Masae","YouTube/Twitch","25,600","EN","https://youtube.com/@MasaeVT","P1","","","","","","","게이머·아티스트형 VTuber. 발라트로 방송 이력"
"59","해외 VTuber","Devana Vespera","YouTube","1,730","EN","https://youtube.com/@DevanaVespera","P2","","","","","","","소형 EN VTuber. 카드게임 방송 이력"
"60","해외 유튜버(JP)","あぽろ","YouTube","342,000","JA","https://youtube.com/@_aporoG","P0","","","","","","","채널 소개 '카드게임·로그라이크를 좋아한다' — 일본어권 최우선 타깃. 일본 유입 2% → 확대 여지"
"61","해외 유튜버(JP)","キャベツの人","YouTube","434,000","JA","https://youtube.com/@cabbage_games","P1","","","","","","","게임 소개 전문 대형 채널. 소개 의뢰 창구 공개 운영"
"62","해외 유튜버(JP)","いちごうのゲームビート","YouTube","122,000","JA","https://youtube.com/@ichigo_Gamebeat","P1","","","","","","","게임 뉴스·리뷰·추천 채널"
"63","해외 유튜버(JP)","ちっそローグライクch","YouTube","20,800","JA","https://youtube.com/@tisso-roguelike","P0","","","","","","","로그라이크 계열 전문 채널"
"64","해외 유튜버(JP)","ひとでのスレスパ解説ch","YouTube","13,700","JA","https://youtube.com/@hitode205gaming","P0","","","","","","","슬더스 해설 전문. 신정보 소개 콘텐츠 정기 제작 — 신작 소개 각도 유효"
"65","해외 유튜버(JP)","シソーのスレスパ解説チャンネル","YouTube","12,700","JA","https://youtube.com/@シソー思想","P0","","","","","","","슬더스2 플레이·해설. 승률 중시 플레이 지향 — 완전정보 최적해와 정합"
"66","해외 VTuber(JP)","しろこりGames","YouTube","11,900","JA","https://youtube.com/@ShirocoryGames","P0","","","","","","","인디게임 전문 VTuber. 'Steam 신작·데모 위주 초반 실황'이 채널 포맷 — 데모 배포와 정확히 맞음"
"67","해외 유튜버(JP)","Senkenゲーム実況","YouTube","9,080","JA","https://youtube.com/@senken_game","P1","","","","","","","슬더스 계열 정기 업로드 스케줄 운영"
"68","해외 유튜버(JP)","ゲム子のインディーゲームch","YouTube","1,390","JA","https://youtube.com/@game1ntro","P1","","","","","","","'하기 전에 알고 싶다' 콘셉트의 인디게임 소개 채널"
"69","해외 유튜버(JP)","けーしー劇場","YouTube","857","JA","https://youtube.com/@kc0401","P1","","","","","","","로그라이크·인디 실황. 빌드/카드 조합 콘텐츠 중심"
"70","해외 유튜버(ES)","BalatroBalatrez52","YouTube","6,680","ES","https://youtube.com/@BalatroBalatrez52","P2","","","","","","","스페인어권 발라트로 채널. 스페인어 지원 시 재접촉"
"71","국내 스트리머","중괄호","치지직/YouTube","31,900","KO","https://youtube.com/@중괄호 / 92cbrace@gmail.com","P0","","","","","","","슬더스 전문 + 발라트로 정기 콘텐츠. 국내 최우선 타깃. 공개 이메일 보유"
"72","국내 유튜버","김더미 (DummyKim)","YouTube","42,200","KO","https://youtube.com/@DummyKim","P0","","","","","","","로그라이크 덱빌딩 검색 상위 노출 채널. 국내 장르 대표 규모"
"73","국내 유튜버","정오의게임","YouTube","1,550","KO","https://youtube.com/@정오의게임","P0","","","","","","","'턴제/전략/전술/로그라이크/덱빌딩 전문 공략' — 국내 장르 일치도 1위. 블로그 병행"
"74","국내 유튜버","모카계","YouTube","2,010","KO","https://youtube.com/@모카계","P0","","","","","","","슬더스2 쇼츠 주력, 카드·턴제 게임 확장 예고. 비즈니스 문의 창구 공개"
"75","국내 스트리머","슬관","치지직/YouTube","3,240","KO","https://youtube.com/@슬관","P0","","","","","","","로그라이크 전문 + 치지직 방송 병행. 시드 경쟁 방송 제안 적합"
"76","국내 유튜버","우주티비 - 티노의 보드게임","YouTube","23,200","KO","https://youtube.com/@ch_uztv","P0","","","","","","","국내 보드게임 대표 채널. 트릭테이킹 룰 설명 콘텐츠 수요층 보유 — 장르 정면 일치"
"77","국내 유튜버","첨탑 지박령 최점모","YouTube","1,880","KO","https://youtube.com/@choijeommo","P1","","","","","","","슬더스2 공략 전문. 매주 일요일 시청자 참여 멀티플레이 운영 → 참여형 이벤트 제안 적합"
"78","국내 유튜버","삼도리버","YouTube","4,070","KO","https://youtube.com/@SanzuRiverr","P1","","","","","","","발라트로 검색 국내 상위 채널"
"79","국내 유튜버","수개 SUGAE","YouTube","329","KO","https://youtube.com/@수개-d6x","P1","","","","","","","인디게임 MD. '바다에 갖다 팔 게임 찾는 중' — 신작 발굴 목적 채널, 회신 가능성 높음"
"80","국내 유튜버","보드라이브 BoardLive","YouTube","87,500","KO","https://youtube.com/@BoardLive","P1","","","","","","","보드게임 전문 예능 채널. 트릭테이킹 실플레이 예능 각도"
"81","국내 유튜버","코리아보드게임즈","YouTube","30,500","KO","https://youtube.com/@koreaboardgames","P1","","","","","","","보드게임 유통사 공식 채널. 룰 설명 콘텐츠 다수 — 협업/교차홍보 각도"
"82","국내 유튜버","로비의 평범한 보드게임","YouTube","9,670","KO","https://youtube.com/@RobbieYoon","P1","","","","","","","보드게임 카페 운영자. 오프라인 접점 확보 가능"
"83","국내 유튜버","탐스크 TAMSK","YouTube","4,620","KO","https://youtube.com/@탐스크","P1","","","","","","","보드게임 & 퍼즐 전문. 영상 사용 조건 관대 → 클립 확산 유리"
"84","국내 유튜버","혼자 노는 보드게임 CH","YouTube","2,600","KO","https://youtube.com/@boardalone","P2","","","","","","","1인플 보드게임 리뷰 — 싱글플레이 퍼즐 카드게임과 정합"
"85","국내 유튜버","말 많은 게이머 듀리","YouTube","70,900","KO","https://youtube.com/@TMTG_DURI","P1","","","","","","","스팀 할인·신작 정보 채널. 데모/무료 플레이테스트 소식 노출 각도"
"86","국내 스트리머","연보","치지직","306","KO","https://youtube.com/@연보1","P1","","","","","","","스팀 인디게임 전문 치지직 스트리머. 소규모지만 장르 순도 높고 회신률 기대"
"87","국내 스트리머","김츠유","치지직/YouTube","32,600","KO","https://youtube.com/@kimtsuyuu","P1","","","","","","","치지직 18~01시 정기 방송. 종합게임"
"88","국내 스트리머","빈쒸","치지직/YouTube","10,100","KO","https://youtube.com/@C빈쒸","P1","","","","","","","치지직 생방송 + 유튜브 정기 업로드(18시)"
"89","국내 스트리머","배드마우스 게임","치지직/YouTube","42,400","KO","https://youtube.com/@BadMouth / bgs28244@gmail.com","P1","","","","","","","스팀 종합게임 채널. 공개 이메일 보유"
"90","국내 유튜버","텀텀보","YouTube","7,250","KO","https://youtube.com/@텀텀보","P2","","","","","","","PC/모바일/콘솔 플레이 영상 채널"
"91","국내 유튜버","마른비의 인디게임-픽셀 공방","YouTube","2,630","KO","https://youtube.com/@dryrain_life","P2","","","","","","","도트 인디게임 채널. 픽셀아트 장터 '점:집' 주최 — 국내 인디 커뮤니티 허브 역할"
"92","국내 유튜버","어쩌다똥겜","YouTube","3,030","KO","https://youtube.com/@어쩌다똥겜","P2","","","","","","","숨은 인디게임 발굴 리뷰"
"93","국내 유튜버","휘숙이 Hwi Sook","YouTube","18,600","KO","https://youtube.com/@4DHwiSook","P2","","","","","","","리뷰·공략 채널"
"94","국내 유튜버","랠짱! RailKim","YouTube","11,400","KO","https://youtube.com/@RailKim","P2","","","","","","","종합 게임 채널. 발라트로 검색 노출"
"95","국내 유튜버","로우거TV","YouTube","17","KO","https://youtube.com/@log777","P2","","","","","","","로그라이크 전문 소형 채널. 콤보·덱빌딩 리퀘스트 접수 운영"
"96","국내 유튜버","플레이부부 PLAYBUBU","YouTube","125","KO","https://youtube.com/@play-bubu","P2","","","","","","","덱빌딩 게임 리뷰 부부 채널. 설명형 리뷰 지향"
"97","국내 스트리머","옥냥이 RoofTopCAT","치지직/YouTube","683,000","KO","https://youtube.com/@rooftopcat_official / rooftopcat@sandboxnetwork.net","P1","","","","","","","대형 치지직 스트리머. 인디게임 커버 이력. 광고 문의 창구 공개 — 유상 협업 검토 대상"
"98","국내 스트리머","풍월량","치지직/YouTube","526,000","KO","https://youtube.com/@hanryang1125","P1","","","","","","","치지직 매일 20시 방송. 인디게임 커버 다수. 영상 공유 허용 정책 → 클립 확산 유리"
"99","국내 스트리머","소니쇼","치지직/YouTube","256,000","KO","https://youtube.com/@소니쇼","P2","","","","","","","치지직 종합게임 방송"
"100","국내 유튜버","수탉","YouTube","1,090,000","KO","https://youtube.com/@sutak_istp / contact@sandbox.co.kr","P2","","","","","","","'하고 싶은 게임만 합니다' — 취향 기반 선정. 회신률 낮으나 커버 시 국내 파급력 최대"
